"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
3353	"Dario Antonetti"	"http://www.rockit.it/darioantonetti"	"Band, Bosisio Parini (LC), Lombardia"	"2"	"Cantautore, Psichedelico, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/news/federico-fiumani-solza-bg-neverlandinverno"",""/recensione/9324/dario-antonetti-lestetica-del-cane"",""/news/questanno-controfesta-tributa-barret"",""/user/darioantonetti""]"	"\n<div class=""content-rece""><p>Dario Antonetti &#xE8; da molti anni un ricercatore dello spirito e della materia. I suoi sforzi sono volti alla scoperta delle affinit&#xE0; fra le leggi che governano il moto degli astri e quelle che determinano l&#x2019;attrazione o la repulsione fra gli esseri umani. La musica &#xE8; il linguaggio che ha scelto per decifrare queste forze occulte ed esporre il risultato dei suoi studi. Durante la sua attivit&#xE0; ha incrociato il suo percorso con quello di altri liberi pensatori. Per circa tre lustri, a cavallo fra gli anni &#x2019;80 ed i &#x2019;90, ha cantato e suonato nei Kryptasthesie che, insofferenti di ogni classificazione, non amavano essere definiti psichedelici, ma lo sono stati forse nel senso pi&#xF9; puro del termine, aperti com&#x2019;erano all&#x2019;improvvisazione e ad ogni genere di contaminazione. Furono fra i pochi gruppi italiani ad incidere per un etichetta inglese e, grazie anche alle loro entusiasmanti performance dal vivo, si guadagnarono un piccolo ma devoto seguito di fans. Nei tardi anni &#x2019;90 venne talora posseduto da un entit&#xE0; di nome Gastel Etzwane, una sorta di bizzarro cantore alieno, interessato ad esplorare le possibilit&#xE0; espressive della voce. Agli albori del nuovo millennio, terminata l&#x2019;avventura Kryptasthesie, presta la voce al rock caustico e dissacrante degli amici Acidi Tonanti ed inizia quindi un nuovo percorso a nome Effetto Doppler, con vecchi e nuovi compagni di viaggio, votato ad un sound ancora eclettico, ma pi&#xF9; asciutto ed attento ai contenuti poetici dei testi. Nel 2002 da vita assieme all&#x2019;amico Massimiliano Dolcini, ex-Acidi Tonanti, alla piccola etichetta Oggetti Volanti Non Identificati, dedita unicamente ad un progetto paranoico-surrealista: la pubblicazione entro il 2030 di 1000 versioni di Vegetable Man, l&#x2019;agghiacciante canzone-autoritratto del maestro Syd Barrett, eretta cos&#xEC; a simbolo del nostro alienante vivere quotidiano. Le prime cinque uscite della OVNI sono curatissime nella veste grafica e raccolgono contributi di ogni genere, provenienti da ogni angolo del globo. Mentre anche gli Effetto Doppler cessano di esistere, con la recente uscita del secondo CD, Dario giunge ad un&#x2019;ulteriore tappa della sua esplorazione, nella veste solista di &#x201C;cantautore indipendente&#x201D; che qui introduciamo, e ci offre un resoconto delle sue pi&#xF9; recenti osservazioni da questa nuova solitaria prospettiva. MIRCO DELFINO <a href=""http://musicforyoureyes.blogspot.com/"" target=""_blank"" rel=""nofollow"">http://musicforyoureyes.blogspot.com/</a></p></div>\n"	"[{""name"":""L'estetica del cane"",""date"":"" 2007 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9324.jpg"",""link"":""http://www.rockit.it/darioantonetti/album/lestetica-del-cane/9324""},{""name"":""Sono il figlio dei Pink Floyd"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/6530.jpg"",""link"":""http://www.rockit.it/darioantonetti/album/sono-il-figlio-dei-pink-floyd/6530""}]"
3354	"Dario Bonelli"	"http://www.rockit.it/dariobonellirock"	"Band, Albissola Marina (SV), Liguria"	"0"	"Indie, Britpop, Pop punk "	"url(/thumb700x250/foto/60508.jpg)"	"[""/recensione/19169/dario-bonelli-microorganismi"",""/user/dariobonelli1977""]"	"\n<div class=""content-rece""><p>Cantautore ligure con influenze british</p> <p>Dario nasce a Genova.Studia pianoforte e inizia a scrivere i suoi primi brani all&apos;et&#xE0; di 13 anni.Si fa le ossa con un po&apos; di pianobar e partecipa come cantautore per tre volte all&apos;Accademia di Sanremo piazzandosi sempre in ottime posizioni.A 23 anni inizia l&apos;avventura con la band dei Desnuda di cui &#xE8; il frontman.Con i Desnuda vince Rock Targato Italia per la regione Liguria e piazzandosi al decimo posto nazionale.Ottimi risultati anche a Sanremorock e Sanremolab.Si autofinanzia un videoclip per tentare il salto di qualit&#xE0; e infatti arriva la pubblicazione di un minicd con l&apos;etichetta Dc Records di Trento.Dario per&#xF2; decide di lasciare la band per dedicarsi ad una carriera solista.Conosce il produttore Maximilian Rio ed inizia un sodalizio che dura da molti anni.Scrive colonne sonore per programmi Rai e canzoni per vari artisti emergenti,finch&#xE8; non gli viene data la possibilit&#xE0; di collaborare con il bravo Daniele Stefani a cui scrive alcuni testi per l&apos;album in uscita a breve.Sul web Dario &#xE8; relativamente famoso per la canzone &quot;Lapo Elkann&quot; che con il videoclip omonimo aveva creato scompiglio su Youtube,tanto che la canzone stessa &#xE8; stata cancellata dagli amministratori.<br>\nOra Dario si ripropone in veste di cantautore ma anche di paroliere e arrangiatore.</p></div>\n"	"[{""name"":""Microorganismi"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19169.jpg"",""link"":""http://www.rockit.it/dariobonellirock/album/microorganismi/19169""}]"
3355	"Dario Brunori"	"http://www.rockit.it/dariobrunori"	"Band"	"1"	"Cantautore, Elettronico, Alternativo "	"url(/thumb700x250/foto/3245.jpg)"	"[""/news/brunori-tour-teatrale-date-concerti"",""/recensione/4657/dario-brunori-st"",""/user/brunori""]"	"\n<div class=""content-rece""><p>Di necessit&#xE0; virt&#xF9;: canzoni,immediatezza,sperimentazione,ricerca,chitarrine,batteria elettronica,cameretta,fruscii e ventole; intuizioni,solitudine,limiti e difetti,giochi di parole,tedio,ansia,pomeriggi infiniti,rimpianti e disamori,ironia,sarcasmo,noioso autocompatimento,stupore e denti. Elettronica,pop,rock,cantautore,alternativo,etichette inutili,schemi necessari,introspezione e rapporti sociali. Il tutto impacchettato in forma consona. Per fortuna.</p></div>\n"	"[{""name"":""s/t"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/4657.jpg"",""link"":""http://www.rockit.it/dariobrunori/album/st/4657""}]"
3356	"Dario Doldi"	"http://www.rockit.it/dariodoldi"	"Band, Milano, Lombardia"	"1"	"Rock, Pop, Cantautore "	"url(/thumb700x250/foto/123218.jpg)"	"[""/recensione/22176/dario-doldi-volerai-vicino-a-me"",""/user/dariodoldi""]"	"\n<div class=""content-rece""><p>Dopo il suo primo singolo autoprodotto, uscito nel 2013 e l&apos;esperienza come artista di strada che ha fatto guadagnare quasi 3000 like alla sua pagina Facebook, Dario Doldi debutta su Tomobiki Music con il suo primo disco (ep) dal titolo &quot;Posso Essere il Primo?&quot;.<br>\nRegistrato all&apos;Effetto Note Studio di Milano, arrangiato e suonato da Fabio Vaccaro e Dario Doldi, e mixato e masterizzato a Berlino da Matteo Cantaluppi (cha ha firmato dischi di artisti come Bugo, Dardust, Thegiornalisti, Canadians e molti altri).<br>\n<br>\nIl disco contiene cinque pezzi  che continuano il percorso iniziato due anni fa con &quot;Volerai Vicino a Me&quot; e sono una netta evoluzione del suo stile. Uno stile unico nel panorama italiano che unisce influenze d&apos;oltremanica e d&apos;oltreoceano con il nostro dna cantautorale. Il risultato finale sono canzoni costruite su arpeggi sofisticati che le caratterizzano e le rendono riconoscibili dopo pochi ascolti. Una voce che guarda pi&#xF9; oltreoceano che in patria e testi in italiano che parlano in modo diretto e sincero.</p></div>\n"	"[{""name"":""Posso essere il primo?"",""date"":"" 2016 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/34016.jpg"",""link"":""http://www.rockit.it/dariodoldi/album/posso-essere-il-primo/34016""},{""name"":""Volerai vicino a me"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22176.jpg"",""link"":""http://www.rockit.it/dariodoldi/album/volerai-vicino-a-me/22176""}]"
3357	"Dario Margeli"	"http://www.rockit.it/dariomargeli"	"Band, Milano, Lombardia"	"0"	"Rock "	"url(/thumb700x250/foto/65115.jpg)"	"[""/recensione/33709/dario-margeli-mente"",""/recensione/24684/dario-margeli-il-sole-e-le-palme"",""/recensione/22336/dario-margeli-salvarmi-da-questa-anarchia"",""/user/dariomargeli""]"	"\n<div class=""content-rece""><p>Bio Dario Margeli</p> <p>Dario Margeli &#xE8; un personaggio il cui nome sta diventando familiare nel mondo del rock italiano.<br>\n<br>\nIl suo brano &#x201C;Buongiorno fino a quando servo&#x201D; <a href=""http://bit.ly/financialda"" target=""_blank"" rel=""nofollow"">http://bit.ly/financialda</a> sui lavoratori precari, &#xE8; diventato un successo virale grazie a numerosi<br>\narticoli apparsi su altrettanti quotidiani online nazionali,<br>\nraccolti all&apos;indirizzo <a href=""http://dariointernet.com/presslinks.html"" target=""_blank"" rel=""nofollow"">http://dariointernet.com/presslinks.html</a><br>\n<br>\n&quot;...Dario Margeli, artista in odore di successo da webstar, ..&quot;<br>\ncitazione tratto dal articolo di Rockit dell&apos;anno scorso. <a href=""http://bit.ly/ZFnBJy"" target=""_blank"" rel=""nofollow"">http://bit.ly/ZFnBJy</a><br>\n<br>\nE stato descritto in un&apos;altra pubblicazione come &quot;un Beppe Grillo cantante&quot; <a href=""http://www.musickr.it/musica-trash-dario-margeli-buongiorno-fino-a-quando-servo-video-ufficiale/"" target=""_blank"" rel=""nofollow"">http://www.musickr.it/musica-trash-dario-margeli-buongiorno-fino-a-quando-servo-video-ufficiale/</a><br>\n<br>\nI video dei brani di Dario Margeli hanno raggiunto 90,000<br>\nvisualizzazioni nel suo canale su youTube.<br>\n<br>\n<a href=""http://www.youtube.com/user/dariomargeli"" target=""_blank"" rel=""nofollow"">http://www.youtube.com/user/dariomargeli</a><br>\n( Canale Youtube Dario Margeli )<br>\n<br>\nMolti aticoli su lui sono presenti sulla stampa, tra questi si trovano Adequacy DOA, Rockit (Italia), Vice, Independent People (Sisley), Music Zoom, I Think Magazine (Puglia), AudioCoop, Spazio Rock, Discheria ElRocco (blog), Birp!, Let Love Grow (Italia), il Blog Di Out (fanzine), IFANEWS.it (Quotidiano Finanziaria), il forum di Onda Rock e Storia della Musica.<br>\n<br>\nSuo Fanpage in Facebook ha raggiunto 1400 &quot;Likes&quot;:<br>\n<br>\n<a href=""http://facebook.com/margelimusic"" target=""_blank"" rel=""nofollow"">http://facebook.com/margelimusic</a><br>\n<br>\nDario Margeli compone canzoni originali che parlano del senso di insicurezza e fanno critica del sistema economico-sociale attuale. Gli testi vogliono servire di auto aiuto.<br>\n<br>\nDal punto di vista musicale, &#xE8; stata posta molta cura alla creazione di linee melodiche vocali originali che arrivano di sperimentare con le scale musicali medio orientali.<br>\n<br>\nIl mio videoclip del singolo precedente, Quell&apos;allegro Calore<br>\n<a href=""http://www.bit.ly/videoquell"" target=""_blank"" rel=""nofollow"">http://www.bit.ly/videoquell</a><br>\nha raggiunto 12,000 visualizzazioni su YouTube.<br>\n<br>\n<br>\nLa mia prima esperienza come musicista risale ai primi anni &apos;90 come bassista, incidendo un paio di demo.Successivamente sono andato negli Stati Uniti a studiare dove sono rimasto per 12 anni, dovendo lasciare la m&#xFA;sica per concentrami sugli impegni dello studio. Nel 2010, in ritorno in Europa, ho lavorato per la casa discogr&#xE1;fica Americana &quot;Stones Throw Records&quot;<br>\n<a href=""http://bit.ly/r6AU4J"" target=""_blank"" rel=""nofollow"">http://bit.ly/r6AU4J</a><br>\nnella redazione del libretto di un doppio CD e vinile che ha avuto molto successo con articoli e menzioni su LA TIMES, UNCUT Magazine e altre pubblicazioni. L&apos;emozione di lavorare su questo album mi ha fatto desiderare di tornare a fare musica. Nel Novembre di 2010 escie mio primo brano insieme al chitarrista americano della Florida, Hugh Williams, con cui lavoro via internet.<br>\n<br>\n<br>\nNell Ottobre di 2011 e uscito il brano Somebody Pull Me Up:<br>\n<br>\nLa canzone &#xE8; disponibile su iTunes:<br>\n<br>\n<a href=""http://itunes.apple.com/us/album/somebody-pull-me-up-single/id468563044"" target=""_blank"" rel=""nofollow"">http://itunes.apple.com/us/album/somebody-pull-me-up-single/id468563044</a><br>\n<br>\nSomebody pull me up &#xE8; una canzone originale, a tema sociale, parla di come le persone normali si sentano intrappolate da un sistema sociale che offre solo lavori mal pagati, spingendole verso un futuro deprimente.<br>\n<br>\nIl brano si avvale della collaborazione del chitarrista rock Hat Trick Raf e del produttore di musica R&#x2019;n&#x2019;B JAKE che ha curato i cori.<br>\n<br>\nNon sono un altro artista che cerca di cantare in inglese, ma ho vissuto negli Stati Uniti dal 1991 al 2003, come cittadino Americano.<br>\n<br>\nSul sito Americano Adequacy (DOA) hanno fatto una segnalazione del brano:<br>\n<a href=""http://www.adequacy.net/2011/11/new-single-from-dario-margeli/"" target=""_blank"" rel=""nofollow"">http://www.adequacy.net/2011/11/new-single-from-dario-margeli/</a><br>\n<br>\nIn Dicembre di 2011 &#xE9; uscito il brano &quot;Niente Importa Tanto&quot;<br>\n<br>\nGli remix Trance - electroniche sono a cura del prodottore ungherese BiTbear che ha fatto produzioni per artisti come Pierre Pascal (France), Nad Mika (Berlin) and Glamour to Kill (Berlin).<br>\n<br>\nLa bravissima attrice professionista Sarai Trujillo appare nell videoclip del brano:<br>\n<a href=""http://www.youtube.com/watch?v=hlsrENFhFcE"" target=""_blank"" rel=""nofollow"">http://www.youtube.com/watch?v=hlsrENFhFcE</a><br>\n<br>\nNell Marzo di 2012 esce il brano &quot;Dentro Un Vortice&quot;, suo brano un altra volta insieme al chitarrista americano blues Hugh Williams. La voce recitante &#xE9; del torinese Roberto Caiato, l&apos;autore del testo.<br>\n<br>\nCi sono diversi recensioni nella stampa Italiana sul brano, per essempio, Rockit (it) che &#xE9; il sito di rock Italiano numero tre in visitatori seccondo Alexa:<br>\n<br>\n<a href=""http://www.rockit.it/recensione/19106/dariomargeli-dentro-un-vortice-singolo"" target=""_blank"" rel=""nofollow"">http://www.rockit.it/recensione/19106/dariomargeli-dentro-un-vortice-singolo</a><br>\n<br>\nMaggio di 2012 suo brano su precari &quot;Buongiorno Fino A Quando Servo&quot; diventa un succeso virale dopo un articolo umoristico nella edizione italiana di Vice Magazine:<br>\n<a href=""http://www.vice.com/it/read/abbiamo-scoperto-il-nuovo-battiato"" target=""_blank"" rel=""nofollow"">http://www.vice.com/it/read/abbiamo-scoperto-il-nuovo-battiato</a><br>\n<br>\nDopo altri giornali come Quotidiano Finanziaria fanno confronti tra lui e Battiato.<br>\n<br>\nIl videoclip del brano diventa un successo con 10,000 visualizzazioni in 1 mese.<br>\n<a href=""http://www.youtube.com/watch?v=660xIdzEvpg"" target=""_blank"" rel=""nofollow"">http://www.youtube.com/watch?v=660xIdzEvpg</a><br>\nvideoclip Buongiorno Fino A Quando Servo<br>\n<br>\nDopo andare a Londra a cercare lavoro di impiegato, ha registrato un&apos;ultima canzone Salvarmi Da Questa Anarchia visto sul sito del programma il Ruggito del coniglio di Radio2 RAI. <br>\n<a href=""http://bit.ly/ZIzL1C"" target=""_blank"" rel=""nofollow"">http://bit.ly/ZIzL1C</a><br>\nLe chitarre sono suonate ed arrangiato dal chitarrista Monzese Alessandro Sulpizio e le parole sono di un paroliere di Napoli.<br>\n<br>\nNegli anni successivi ha lavorato con il chitarrista Simone Sproccati su brani con testi Influenzati dalla filosofia Buddista.<br>\n<br>\n-----------------------------------------------------------<br>\nDario Margeli <br>\nContact Information:<br>\nEmail:<br>\n<a href=""mailto:dariointernet@gmail.com"">dariointernet@gmail.com</a><br>\nFacebook Personale  (Add me):<br>\n<a href=""http://www.facebook.com/dario.margeli"" target=""_blank"" rel=""nofollow"">http://www.facebook.com/dario.margeli</a><br>\nPagina Facebook (in lavorazione):<br>\n<a href=""http://www.facebook.com/margelimusic"" target=""_blank"" rel=""nofollow"">http://www.facebook.com/margelimusic</a><br>\nSito Web:<br>\n<a href=""http://www.dariointernet.com"" target=""_blank"" rel=""nofollow"">http://www.dariointernet.com</a><br>\nCanale YouTube :<br>\n<a href=""http://www.youtube.com/user/dariomargeli"" target=""_blank"" rel=""nofollow"">http://www.youtube.com/user/dariomargeli</a><br>\nTwitter (non molto usato):<br>\n<a href=""http://twitter.com/dariointernet"" target=""_blank"" rel=""nofollow"">http://twitter.com/dariointernet</a></p></div>\n"	"[{""name"":""Mente"",""date"":"" 2016 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33709.jpg"",""link"":""http://www.rockit.it/dariomargeli/album/mente/33709""},{""name"":""il sole e le palme"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24684.jpg"",""link"":""http://www.rockit.it/dariomargeli/album/il-sole-e-le-palme/24684""},{""name"":""Salvarmi Da Questa Anarchia"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22336.jpg"",""link"":""http://www.rockit.it/dariomargeli/album/salvarmi-da-questa-anarchia/22336""},{""name"":""Dentro Un Vortice (Singolo)"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19106.jpg"",""link"":""http://www.rockit.it/dariomargeli/album/dentro-un-vortice-singolo/19106""},{""name"":""Buongiorno Fino A Quando Servo"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19422.jpg"",""link"":""http://www.rockit.it/dariomargeli/album/buongiorno-fino-a-quando-servo/19422""},{""name"":""Niente Importa Tanto (Singolo)"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/18168.jpg"",""link"":""http://www.rockit.it/dariomargeli/album/niente-importa-tanto-singolo/18168""}]"
3358	"dario sabatini"	"http://www.rockit.it/darios"	"Band, pistoia (PT), Toscana"	"0"	"Cantautore, Punk, Acustico "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/darios""]"	"\n<div class=""content-rece""></div>\n"	"[]"
3359	"Dario-V"	"http://www.rockit.it/dario-v"	"Band, Lombardia"	"0"	"Psichedelico, Pop, Alternativo "	"url(/thumb700x250/foto/2663.jpg)"	"[""/recensione/2075/dario-v-tell-the-sun"",""/user/dr224124v""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Tell the sun"",""date"":"" 2002 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/2075.jpg"",""link"":""http://www.rockit.it/dario-v/album/tell-the-sun/2075""}]"
3360	"Daris Bajr"	"http://www.rockit.it/darisbajr"	"Band, Piemonte"	"0"	"Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/2916/daris-bajr-altre-cose-da-capire""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Altre cose da capire"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/darisbajr/album/altre-cose-da-capire/2916""}]"
3361	"Dark Dew"	"http://www.rockit.it/darkdew"	"Band, Lombardia"	"0"	"Rock, Metal, Hard Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/darkdew""]"	"\n<div class=""content-rece""></div>\n"	"[]"
3362	"Dark Fly"	"http://www.rockit.it/darkfly"	"Band, Sicilia"	"1"	"Progressive, Metal, Dark "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
